name,char_wiki_link,extra_wiki_link
Ted Flanders,Ted_Flanders,Ted
Wilhelmina Dümperdorf,Wilhelmina_D%C3%BCmperdorf,Wilhelmina
Winifred Trout,Winifred_Trout,Winifred
Clifford Burns,Clifford_Burns,Clifford
Cornelia Hernandez,Cornelia_Hernandez,Cornelia
Cornelius Burns,Cornelius_Burns,Cornelius
Daphne Burns,Daphne_Burns,Daphne
Doreena Burns,Doreena_Burns,Doreena
Eric Von Burns,Eric_Von_Burns,Eric
Evelyn Graycomb,Evelyn_Graycomb,Evelyn
Franklin Jefferson Burns,Franklin_Jefferson_Burns,Franklin
Ironfist Burns,Ironfist_Burns,Ironfist
Otto Graycomb,Otto_Graycomb,Otto
Pepita Hernandez,Pepita_Hernandez,Pepita
Wainwright Montgomery Burns,Wainwright_Montgomery_Burns,Wainwright
Zeph Burns,Zeph_Burns,Zeph
Lily Bancroft,Lily_Bancroft,Lily
Mimsy Bancroft,Mimsy_Bancroft,Mimsy
Lyla,Lyla,Lyla
Moshe Bernstein,Moshe_Bernstein,Moshe
Saul Bernstein,Saul_Bernstein,Saul
George Burns (character),George_Burns_(character),George
Maxine Lombard,Maxine_Lombard,Maxine
Rachel Krustofsky,Rachel_Krustofsky,Rachel
Sophie Krustofsky,Sophie_Krustofsky,Sophie
Erin,Erin,Erin
Luke Perry (character),Luke_Perry_(character),Luke
Barbara Van Horne,Barbara_Van_Horne,Barbara
Norman Van Horne,Norman_Van_Horne,Norman
Josh,Josh,Josh
Mia Farrow,Mia_Farrow,Mia
Chin Ho,Chin_Ho,Chin
Holly Hippie,Holly_Hippie,Holly
Eartha Kitt (character),Eartha_Kitt_(character),Eartha
Princess Penelope,Princess_Penelope,Princess
Annie Dubinsky,Annie_Dubinsky,Annie
Sheldon Skinner,Sheldon_Skinner,Sheldon
Seymour Skinner (real),Seymour_Skinner_(real),Seymour
Poonam Nahasapeemapetilon,Poonam_Nahasapeemapetilon,Poonam
Sashi Nahasapeemapetilon,Sashi_Nahasapeemapetilon,Sashi
Pria Nahasapeemapetilon,Pria_Nahasapeemapetilon,Pria
Uma Nahasapeemapetilon,Uma_Nahasapeemapetilon,Uma
Anoop Nahasapeemapetilon,Anoop_Nahasapeemapetilon,Anoop
Sandeep Nahasapeemapetilon,Sandeep_Nahasapeemapetilon,Sandeep
Nabendu Nahasapeemapetilon,Nabendu_Nahasapeemapetilon,Nabendu
Gheet Nahasapeemapetilon,Gheet_Nahasapeemapetilon,Gheet
Jamshed Nahasapeemapetilon,Jamshed_Nahasapeemapetilon,Jamshed
Pahusacheta Nahasapeemapetilon,Pahusacheta_Nahasapeemapetilon,Pahusacheta
Kavi Nahasapeemapetilon,Kavi_Nahasapeemapetilon,Kavi
Indian Nerd,Indian_Nerd,Indian
Apu Nahasapeemapetilon Sr.,Apu_Nahasapeemapetilon_Sr.,Apu
Grandma Van Houten,Grandma_Van_Houten,Grandma
Grandpa Van Houten,Grandpa_Van_Houten,Grandpa
Milford Van Houten,Milford_Van_Houten,Milford
